Operatore,ID impianto,Tipo,Ubicazione,Prov,Lat.,Long.,Alt.,Ch.,Freq.C,Prog/Bouquet,ERP Max,
"""LASER MEDIA SOCIETA' COOPERATIVA""",CNF146010,FM  (S),PIAZZA UMBERTO I - PISTICCI,MT,40N2323,16E3328,383,,"99,1",CITY RADIO,"H: --
V: 32 dBW",0.0
"""LASER MEDIA SOCIETA' COOPERATIVA""",CNF146021,FM  (S),MONTE COPPOLO - VALSINNI,MT,40N0848,16E2829,787,,"99,3",CITY RADIO,"H: --
V: 18 dBW",0.0
"""LASER MEDIA SOCIETA' COOPERATIVA""",CNF146026,FM  (S),LA SERRA - STIGLIANO,MT,40N2352,16E1352,892,,94,CITY RADIO,"H: --
V: 11 dBW",0.0
"""LASER MEDIA SOCIETA' COOPERATIVA""",CNF146027,FM  (S),SERRA VERDE - CIRIGLIANO,MT,40N2550,16E0950,1030,,"88,5",CITY RADIO,"H: --
V: 16 dBW",0.0
"""LASER MEDIA SOCIETA' COOPERATIVA""",CNF146031,FM  (S),RIONE DELLE VIGNE - TRICARICO,MT,40N3656,16E0759,809,,"98,9",CITY RADIO,"H: --
V: 16 dBW",0.0
"""LASER MEDIA SOCIETA' COOPERATIVA""",CNF146037,FM  (S),PIAZZA UMBERTO I - PISTICCI,MT,40N2323,16E3328,383,,"101,2",RADIO LASER,"H: --
V: 32 dBW",0.0
"""LASER MEDIA SOCIETA' COOPERATIVA""",CNF146040,FM  (S),MURGIA TRASANO - MATERA,MT,40N4002,16E3822,480,,"92,4",RADIO LASER,"H: --
V: 29 dBW",0.0
"""LASER MEDIA SOCIETA' COOPERATIVA""",CNF146049,FM  (S),MONTE SANT'ARCANGELO - COLOBRARO,MT,40N1342,16E2203,858,,"92,2",RADIO LASER,"H: --
V: 26 dBW",0.0
3LETTRONICA INDUSTRIALE S.P.A.,CNF134620,TD,C.DA MANFERRARA - POMARICO,MT,40N3209,16E2959,468,37,602,LA3TV,"H: --
V: 31 dBW",602.0
A.C.R.C. - ASSOCIAZIONE CULTURALE RADIOFONICA COMUNITARIA,CNF151687,FM  (S),Contrada Murgia Trasano - Matera,MT,40N4001,16E3822,470,,"103,4",Radiofreccia,"H: --
V: 39 dBW",0.0
A.C.R.C. - ASSOCIAZIONE CULTURALE RADIOFONICA COMUNITARIA,CNF158167,FM  (S),Contrada Serra delle Vigne - Tricarico,MT,40N3718,16E0720,809,,"96,5",Radiofreccia,"H: --
V: 37 dBW",0.0
ALTAFREQUENZA S.P.A. IN LIQUIDAZIONE,CNF134367,TD,Contrada Colabarile - MIGLIONICO,MT,40N3337,16E2835,448,27,522,BLU TV,"H: --
V: 37 dBW",522.0
ASSEMBLEE DI DIO IN ITALIA,CNF147049,FM  (S),MURGIA TRASANO - MATERA,MT,40N4002,16E3822,472,,"98,3",RADIO EVANGELO MATERA,"H: --
V: --",0.0
"ASSOCIAZIONE ""CANALE 2 """,CNF134786,TD,Colabarile - MIGLIONICO,MT,40N3338,16E2834,465,53,730,CANALE 2 TV,"H: --
V: 24 dBW",730.0
ASSOCIAZIONE CANALE 10 RADIO TV,CNF146792,FM  (S),TEMPONE SULLA - NOVA SIRI,MT,40N0902,16E3206,400,,"95,8",TELERADIO COSENZA (già RADIO LUNA G.S.),"H: --
V: --",0.0
